Unnamed: 0,searchq,date,T_flag,cart,click,seen,Unique_session_id,Unique_session_id_clicked,new_interval,Clickrate,Clickrate_total
86.0,3second,2021-09-06,18,0,0,0,0,0,2021-09-06 18:00:00,0.0,0.0
87.0,3second,2021-09-06,21,0,0,0,0,0,2021-09-06 21:00:00,0.0,0.0
88.0,3second,2021-09-10,0,0,0,0,0,0,2021-09-10 00:00:00,0.0,0.0
89.0,3second,2021-09-10,3,0,0,0,0,0,2021-09-10 03:00:00,0.0,0.0
90.0,3second,2021-09-10,6,0,0,0,0,0,2021-09-10 06:00:00,0.0,0.0
91.0,3second,2021-09-10,9,0,0,0,0,0,2021-09-10 09:00:00,0.0,0.0
92.0,3second,2021-09-10,12,0,0,0,0,0,2021-09-10 12:00:00,0.0,0.0
93.0,3second,2021-09-10,15,0,0,0,0,0,2021-09-10 15:00:00,0.0,0.0
94.0,3second,2021-09-10,18,0,0,0,0,0,2021-09-10 18:00:00,0.0,0.0
95.0,3second,2021-09-10,21,0,0,0,0,0,2021-09-10 21:00:00,0.0,0.0
96.0,3second,2021-09-14,0,0,0,0,0,0,2021-09-14 00:00:00,0.0,0.0
97.0,3second,2021-09-14,3,0,0,0,0,0,2021-09-14 03:00:00,0.0,0.0
98.0,3second,2021-09-14,6,0,0,0,0,0,2021-09-14 06:00:00,0.0,0.0
99.0,3second,2021-09-14,9,0,2,80,1,1,2021-09-14 09:00:00,100.0,2.5
100.0,3second,2021-09-14,12,0,0,48,2,0,2021-09-14 12:00:00,0.0,0.0
101.0,3second,2021-09-14,15,0,0,0,0,0,2021-09-14 15:00:00,0.0,0.0
102.0,3second,2021-09-14,18,0,0,104,2,0,2021-09-14 18:00:00,0.0,0.0
103.0,3second,2021-09-14,21,0,0,32,1,0,2021-09-14 21:00:00,0.0,0.0
104.0,3second,2021-09-15,0,0,0,0,0,0,2021-09-15 00:00:00,0.0,0.0
105.0,3second,2021-09-15,3,0,0,0,0,0,2021-09-15 03:00:00,0.0,0.0
106.0,3second,2021-09-15,6,0,1,133,1,1,2021-09-15 06:00:00,100.0,0.75
107.0,3second,2021-09-15,9,0,1,64,3,1,2021-09-15 09:00:00,33.33,1.56
108.0,3second,2021-09-15,12,0,4,133,1,1,2021-09-15 12:00:00,100.0,3.01
109.0,3second,2021-09-15,15,0,5,133,1,1,2021-09-15 15:00:00,100.0,3.76
